movie_id,movie_name,year,cast
tt7212754,Ludo,2020,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh"
tt3390572,Haider,2014,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
tt13131232,Mission Majnu,2023,"Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi, Zakir Hussain"
tt1787988,Talaash,2012,"Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui"
tt4559006,Ae Dil Hai Mushkil,2016,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan"
tt1280558,A Wednesday,2008,"Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual"
tt5638474,Wajah Tum Ho,2016,"Sharman Joshi, Sana Khan, Gurmeet Choudhary, Rajneesh Duggal"
tt7098658,Raazi,2018,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma"
tt0292490,Dil Chahta Hai,2001,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta"
tt13781794,Bye2,2020,"Bhushan, Karan, Vipin Singh, Shreya Tyagi"
tt14152140,Darlings,2022,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew"
tt11460992,Runway 34,2022,"Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, CarryMinati"
tt4635372,Masaan,2015,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi"
tt6452574,Sanju,2018,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal"
tt16077702,Govinda Naam Mera,2022,"Vicky Kaushal, Kiara Advani, Bhumi Pednekar, Renuka Shahane"
tt1839596,Rockstar,2011,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra"
tt5690142,Mom,2017,"Sridevi, Sajal Ali, Akshaye Khanna, Adnan Siddiqui"
tt6988116,Kalank,2019,"Alia Bhatt, Kiara Advani, Sanjay Dutt, Kriti Sanon"
tt10324144,Article 15,2019,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra"
tt8439854,Lust Stories,2018,"Kiara Advani, Vicky Kaushal, Bhumi Pednekar, Neil Bhoopalam"
tt13130948,Shehzada,2023,"Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala"
tt6527426,Zero,2018,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub"
tt13028258,A Thursday,2022,"Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia"
tt0405508,Rang De Basanti,2006,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
tt9263550,Rocketry: The Nambi Effect,2022,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
tt4535650,Dilwale,2015,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
tt13449624,Jug Jugg Jeeyo,2022,"Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh"
tt2395469,Gully Boy,2019,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
tt2112124,Chennai Express,2013,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer"
tt7430722,War,2019,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana"
tt10295212,Shershaah,2021,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
tt7255568,Student of the Year 2,2019,"Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal"
tt14428598,Qala,2022,"Triptii Dimri, Babil Khan, Swastika Mukherjee, Amit Sial"
tt4934950,Talvar,2015,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
tt15281704,Kuttey,2023,"Tabu, Arjun Kapoor, Naseeruddin Shah, Konkona Sen Sharma"
tt26445483,Fukrey 3,2023,"Pankaj Tripathi, Farhan Akhtar, Richa Chadha, Pulkit Samrat"
tt12856788,Dangerous,2022,"Naina Ganguly, Rajpal Naurang Yadav, Mithun Purandare, Apsara Rani"
tt2905838,Bang Bang,2014,"Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa"
tt0222012,Hey Ram,2000,"Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Hema Malini"
tt7518786,83,2021,"Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva"
tt15516726,Selfiee,2023,"Akshay Kumar, Mrunal Thakur, Nushrratt Bharuccha, Emraan Hashmi"
tt0420332,Veer-Zaara,2004,"Shah Rukh Khan, Preity G Zinta, Rani Mukerji, Kirron Kher"
tt2215477,Goliyon Ki Rasleela Ram-Leela,2013,"Ranveer Singh, Deepika Padukone, Supriya Pathak, Sharad Kelkar"
tt5970844,Thugs of Hindostan,2018,"Aamir Khan, Amitabh Bachchan, Lloyd Owen, Katrina Kaif"
tt15680228,Bheed,2023,"Rajkummar Rao, Pankaj Kapur, Bhumi Pednekar, Aditya Srivastav"
tt0449999,Kabhi Alvida Naa Kehna,2006,"Shah Rukh Khan, Rani Mukerji, Amitabh Bachchan, Abhishek Bachchan"
tt11934846,Badhaai Do,2022,"Rajkummar Rao, Bhumi Pednekar, Chum Darang, Sheeba Chaddha"
tt27124947,Prem Ki Shaadi,2024,"Salman Khan, Keerthy Suresh, Kriti Kharbanda, Parineeti Chopra"
tt10230404,Ghost Stories,2020,"Janhvi Kapoor, Surekha Sikri, Amruta Subhash, Vijay Varma"
tt16539454,Pushpa: The Rule - Part 2,2024,"Allu Arjun, Sunil, Fahadh Faasil, Rashmika Mandanna"
tt12357758,Climax,2020,"Mia Malkova, Mourmi, Renan Severo"
tt8108202,Stree,2018,"Ashish Chhipa, Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi"
tt0265343,Monsoon Wedding,2001,"Naseeruddin Shah, Lillete Dubey, Shefali Shah, Vijay Raaz"
tt1934231,Delhi Belly,2011,"Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury"
tt21262240,Mission Raniganj,2023,"Akshay Kumar, Parineeti Chopra, Rajesh Sharma, Ravi Kishan"
tt0347473,Main Hoon Na,2004,"Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan"
tt0284137,Gadar: Ek Prem Katha,2001,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey"
tt15360286,Bhagwan Bharose,2023,"Satendra Soni, Sparsh Suman, Vinay Pathak, Masumeh Makhija"
tt0488414,Omkara,2006,"Ajay Devgn, Kareena Kapoor, Saif Ali Khan, Konkona Sen Sharma"
tt0871510,Chak De! India,2007,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla"
tt0213890,Mohabbatein,2000,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj"
tt1029231,Krrish 3,2013,"Hrithik Roshan, Vivek Oberoi, Priyanka Chopra Jonas, Kangana Ranaut"
tt8983202,Kabir Singh,2019,"Shahid Kapoor, Kiara Advani, Nikita Dutta, Soham Majumdar"
tt12567088,Raat Akeli Hai,2020,"Ashish Chhipa, Nawazuddin Siddiqui, Radhika Apte, Aditya Srivastav"
tt7721946,Housefull 4,2019,"Akshay Kumar, Riteish Deshmukh, Bobby Deol, Kriti Sanon"
tt2461132,Happy New Year,2014,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Boman Irani"
